"label","target","source"
"Nocą drony są szczególnie głośne","Wolfgang Bauer","„Das Buch-Magazin”"
"Nocą drony są szczególnie głośne","Wolfgang Bauer","Rainer Springenschmid, ORF"
"Nocą drony są szczególnie głośne","Wolfgang Bauer","Anne Kohlick, Deutschlandfunk Kultur"
"Nocą drony są szczególnie głośne","Wolfgang Bauer","Isabel Fannrich-Lautenschläger, Deutschlandfunk"
"Nocą drony są szczególnie głośne","Wolfgang Bauer","Gabriele Matzner, „International – Die Zeitschrift für internationale Politik”"
"Nocna zamieć","Johan Theorin","The Guardian"
"Nocna zamieć","Johan Theorin","Booklist"
"Nocne wiedźmy na wojnie z lotnikami Hitlera","Luba Winogradowa","Karolina Sulej"
"Nocne wiedźmy na wojnie z lotnikami Hitlera","Luba Winogradowa","Giles Whittell, „The Times”"
"Nocne wiedźmy na wojnie z lotnikami Hitlera","Luba Winogradowa","Dominic Sandbrook, „Sunday Times”"
"Nocne wiedźmy na wojnie z lotnikami Hitlera","Luba Winogradowa","Leo McKinstry, „Literary Review”"
"Nomadland","Jessica Bruder","Grzegorz Wysocki, „Gazeta Wyborcza”"
"Nomadland","Jessica Bruder","Barbara Ehrenreich"
"Nomadland","Jessica Bruder","Rebecca Solnit"
"Nomadland","Jessica Bruder","„The New Yorker”"
"Nomadland","Jessica Bruder","Ted Conover"
"Nomadland","Jessica Bruder","„The Los Angeles Review of Books”"
"Nomadland","Jessica Bruder","„The Nation”"
"Nomadland","Jessica Bruder","„Providence Journal”"
"Nowa ja","Halle Butler","Adriana Rozwadowska"
"Nowiny ze świata","Paulette Jiles","Krzysztof Cieślik"
"Nowiny ze świata","Paulette Jiles","Tracy Chevalier"
"Nowiny ze świata","Paulette Jiles","Wendy Smith, „The Washington Post”"
"Nowiny ze świata","Paulette Jiles","Janet Maslin, „The New York Times”"
"Nowohucka telenowela","Renata Radłowska","Renata Radłowska"
"Nowohucka telenowela","Renata Radłowska","prof. Roch Sulima"
"Nowy Jork","Magdalena Rittenhouse","Ewa Winnicka"
"Nowy Jork","Magdalena Rittenhouse","Piotr Mucharski"
"Nowy Uzbekistan","Agnieszka Pikulicka-Wilczewska","Wojciech Górecki"
"Obca","Claudia Durastanti","Grzegorz Jankowicz"
"Obca","Claudia Durastanti","Jhumpa Lahiri"
"Obca","Claudia Durastanti","Ocean Vuong"
"Obca","Claudia Durastanti","Rupert Loydell, „International Times”"
"Obca","Claudia Durastanti","Vilma De Gasperin"
"Obca","Claudia Durastanti","Joseph Peschel, „Brooklyn Rail”"
"Obciążeni","Götz Aly","Prof. dr hab. Andrzej Żbikowski"
"Obietnica","Damon Galgut","Michał Nogaś, „Gazeta Wyborcza”, „Książki. Magazyn do Czytania”"
"Obietnica","Damon Galgut","Chigozie Obioma, juror Nagrody Bookera w 2021 roku"
"Obietnica","Damon Galgut","Claire Messud, „Harper’s Magazine”"
"Obietnica","Damon Galgut","„Booklist”"
"Obietnica","Damon Galgut","Rand Richards Cooper, „The New York Times Book Review”"
"Obietnica","Damon Galgut","Anna Mundow, „The Wall Street Journal”"
"Obietnica","Damon Galgut","James Wood, „The New Yorker”"
"Oblicza Wielkiej Brytanii","Dariusz Rosiak","Filip Łobodziński"
"Obłokobujanie","Patti Smith","Agnieszka Wolny-Hamkało"
"Obsoletki","Justyna Bargielska","Justyna Bargielska"
"Obsoletki","Justyna Bargielska","Natasza Goerke"
"Obsoletki","Justyna Bargielska","Sylwia Chutnik"
"Obumarła","Anne Boyer","Tomasz Stawiszyński"
"Obumarła","Anne Boyer","Hari Kunzru"
"Obumarła","Anne Boyer","Johanna Fateman"
"Obumarła","Anne Boyer","„Kirkus Reviews”"
"Obumarła","Anne Boyer","Colleen Mondor, „Booklist”"
"Obumarła","Anne Boyer","Sally Rooney"
"Obumarła","Anne Boyer","Jennifer Szalai, „The New York Times”"
"Obumarła","Anne Boyer","Sascha Cohen, NPR"
"Obumarła","Anne Boyer","Stephen Sparks, Literary Hub"
"Obwód głowy","Włodzimierz Nowak","Martin Pollack"
"Obwód głowy","Włodzimierz Nowak","Małgorzata Szejnert"
"Obwód głowy","Włodzimierz Nowak","Adam Krzemiński"
"Ocaleni z XX wieku","Mikołaj Grynberg","Artur Domosławski"
"O Chinach","Henry Kissinger","Radosław Sikorski"
"O Chinach","Henry Kissinger","„The New York Review of Books”"
"O Chinach","Henry Kissinger","„The New York Times”"
"O Chinach","Henry Kissinger","„The Washington Post”"
"O chorowaniu","Virginia Woolf","Grażyna Borkowska"
"Oczami radzieckiej zabawki","Konstanty Usenko","Michał Owczarek"
"Oczami radzieckiej zabawki","Konstanty Usenko","Leszek Gnoiński"
"Oczami radzieckiej zabawki","Konstanty Usenko","Paulus, wokalista zespołów Kinsky, Multicide, Partizan"
"Oczami radzieckiej zabawki","Konstanty Usenko","Agnieszka Szydłowska"
"Oczami radzieckiej zabawki","Konstanty Usenko","Pablopavo"
"Oczami radzieckiej zabawki","Konstanty Usenko","Rafał Księżyk"
"Oczy zasypane piaskiem","Paweł Smoleński","Adam Michnik"
"Oczy zasypane piaskiem","Paweł Smoleński","Sever Plocker, redaktor, „Yedioth Ahronoth”, Tel Awiw"
"Oczy zasypane piaskiem","Paweł Smoleński","Dani Tracz, izraelski wydawca"
"Oczy zasypane piaskiem","Paweł Smoleński","Ela Sidi, autorka „Izraela oswojonego”"
"Oczy zasypane piaskiem","Paweł Smoleński","Etgar Keret"
"Odbicie","Wojciech Nowicki","Maria Poprzęcka"
"Odbicie","Wojciech Nowicki","Filip Springer"
"Odczytanie listy","Anka Grupińska","fragment wstępu Marka Edelmana"
"Odczytanie listy","Anka Grupińska","Michał Cichy"
"Odczytanie listy","Anka Grupińska","prof. Przemysław Czapliński"
"Odessa","Charles King","Wojciech Nowicki"
"Odessa","Charles King","Harold Bloom"
"Odessa","Charles King","„Publishers Weekly”"
"Odessa","Charles King","Timothy Snyder, „The Wilson Quarterly”"
"Odessa","Charles King","Peter M. Gianotti, „Newsday”"
"Odessa","Charles King","Jan Morris, „The Literary Review"
"Odessa","Charles King","Matthew Kaminsky, „The Daily Beast”"
"Odessa","Charles King","Chad Ensley, „Foreign Policy”"
"Odessa","Charles King","„Library Journal”"
"Odessa","Charles King","Andrew Meier"
"Odessa","Charles King","Ilya Kaminsky"
"Odessa","Charles King","„The Economist”"
"Odessa","Charles King","Serhii Plokhy"
"Odessa","Charles King","Drew Bratcher, „Washingtonian Magazine”"
"Odessa","Charles King","Dorri Olds, „New York Resident”"
"Odessa","Charles King","Peter Demetz"
"Odessa transfer","Katharina Raabe, Monika Sznajderman","Katharina Raabe"
"Odessa transfer","Katharina Raabe, Monika Sznajderman","Andrzej Brzeziecki"
"Od Katowic idzie słońce","Anna Malinowska","Zbigniew Rokita"
"O dobrym jedzeniu","Agata Michalak","Agnieszka Kręglicka, fragment wstępu"
"Ogar piekielny ściga mnie","Hampton Sides","Artur Domosławski"
"Ogar piekielny ściga mnie","Hampton Sides","„Publishers Weekly”"
"Ogar piekielny ściga mnie","Hampton Sides","„Bookmarks Magazine”"
"Ogar piekielny ściga mnie","Hampton Sides","„The New York Times”"
"Ogar piekielny ściga mnie","Hampton Sides","„Associated Press”"
"Ojciec","Miljenko Jergović","Szymon Kloska"
"Ojciec","Miljenko Jergović","Katarzyna Nowak"
"Ojcobójca","Martin Pollack","Christoph Ransmayr"
"Ojcobójca","Martin Pollack","Ryszard Kapuściński"
"Ojcobójca","Martin Pollack","Andrzej Stasiuk"
"Ojcobójca","Martin Pollack","Paweł Huelle"
"Ojcobójca","Martin Pollack","Marta Dvorak"
"Ojcobójca","Martin Pollack","Andrzej Rostocki"
"Ojcobójca","Martin Pollack","Zdzisław Jaskuła"
"Ojczyzna dobrej jakości","Stowarzyszenie Reporterów Rekolektyw","Paweł Smoleński"
"Ojczyzna moralnie czysta","Bartosz Żurawiecki","Katarzyna Kasia"
"Okręg Sinistra","Ádám Bodor","Małgorzata Komorowska-Fotek, tłumaczka"
"Okręg Sinistra","Ádám Bodor","Dorota Jovanka Ćirlić, „Gazeta Wyborcza”"
"Okręg Sinistra","Ádám Bodor","Juliusz Kurkiewicz, „Tygodnik Powszechny”"
"Okrzyki pogromowe","Joanna Tokarska-Bakir","Jerzy Jedlicki"
"Olimpijki","Anna Sulińska","Łukasz Wojtusik"
"O mężczyznach, którzy nienawidzą kobiet","Laura Bates","Michał Radomił Wiśniewski"
"O mężczyznach, którzy nienawidzą kobiet","Laura Bates","Caitlin Moran"
"O mężczyznach, którzy nienawidzą kobiet","Laura Bates","Anita Anand"
"O mężczyznach, którzy nienawidzą kobiet","Laura Bates","„The Sunday Times”"
"O mężczyznach, którzy nienawidzą kobiet","Laura Bates","Shami Chakrabarti"
"O mężczyznach, którzy nienawidzą kobiet","Laura Bates","Emma Gannon"
"O mężczyznach, którzy nienawidzą kobiet","Laura Bates","Robin Ince"
"O mułach i ludziach","Harry Crews","„New York Times Book Review”"
"O mułach i ludziach","Harry Crews","Dwight Garner, „New York Times”"
"O mułach i ludziach","Harry Crews","Richard Gilbert"
"O mułach i ludziach","Harry Crews","„New York Newsday”"
"Opiekunka","Andrea Gillies","Alicja Sadowska, Prezes Polskiego Stowarzyszenia Pomocy Osobom z Chorobą Alzheimera"
"Opiekunka","Andrea Gillies","Wojciech Staszewski, autor książki „Ojciec.prl”"
"Opiekunka","Andrea Gillies","Daily Mail"
"Opiekunka","Andrea Gillies","Deborah Moggach"
"Opiekunka","Andrea Gillies","Daily Express"
"Opiekunka","Andrea Gillies","The Times Literary Supplement"
"Opiekunka","Andrea Gillies","Jo Brand"
"Opiekunka","Andrea Gillies","John Bayley"
"Opiekunka","Andrea Gillies","Sir Richard Eyre"
"Opiekunka","Andrea Gillies","Prof. Raymond Tallis"
"Opiekunka","Andrea Gillies","The Catholic Herald"
"Opiekunka","Andrea Gillies","The Lancet"
"O północy w Pera Palace","Charles King","Robert D. Kaplan"
"O północy w Pera Palace","Charles King","Jason Goodwin, „The New York Times Book Review”"
"O północy w Pera Palace","Charles King","Stephen Kinzer"
"O północy w Pera Palace","Charles King","„Publishers Weekly”"
"O północy w Pera Palace","Charles King","Piotr Ibrahim Kalwas"
"O powstawaniu Polaków","Tomasz Ulanowski","Tomasz Ulanowski"
"O powstawaniu Polaków","Tomasz Ulanowski","Adam Wajrak"
"Orzeszkowo 14","Anna Romaniuk","Tomasz Łubieński"
"Osiedle marzeń","Wojciech Chmielarz","Paweł Sołtys"
"Osiem cztery","Mirosław Nahacz","Andrzej Stasiuk"
"Osiem cztery","Mirosław Nahacz","Helena Zaworska"
"Osiem cztery","Mirosław Nahacz","Cezary Polak"
"Osiem cztery","Mirosław Nahacz","Janusz Drzewucki"
"Osiem cztery. Bombel. Bocian i Lola","Mirosław Nahacz","Andrzej Stasiuk"
"Osioł Mesjasza","Włodek Goldkorn","Anna Bikont"
"Oskarżam Auschwitz","Mikołaj Grynberg","Barbara Engelking"
"Oskarżam Auschwitz","Mikołaj Grynberg","Anka Grupińska, ze wstępu do pierwszego wydania"
"Oskarżona","Mariella Mehr","Katarzyna Leszczyńska"
"Oskarżona","Mariella Mehr","Angelika Kuźniak"
"Ostatnia","Maciej Malicki","Robert Ostaszewski"
"Ostatnia oknożyrafa","Péter Zilahy","Arnon Grunberg"
"Ostatnia oknożyrafa","Péter Zilahy","Jurij Andruchowycz"
"Ostatnia oknożyrafa","Péter Zilahy","Otto Wynen"
"Ostatnia oknożyrafa","Péter Zilahy","Frank Prescott"
"Ostatnia oknożyrafa","Péter Zilahy","Pieter Steinz"
"Ostatnia oknożyrafa","Péter Zilahy","Paul Gessel"
"Ostatnia oknożyrafa","Péter Zilahy","Ingo Schulze"
"Ostatnia oknożyrafa","Péter Zilahy","Przemysław Gulda"
"Ostatnie lato w mieście","Gianfranco Calligarich","Leszek Bugajski"
"Ostatnie lato w mieście","Gianfranco Calligarich","Natalia Ginzburg"
"Ostatnie lato w mieście","Gianfranco Calligarich","„The New York Times Book Review”"
"Ostatnie lato w mieście","Gianfranco Calligarich","„La Repubblica”"
"Ostatnie lato w mieście","Gianfranco Calligarich","„Il Messaggero”"
"Ostatnie lato w mieście","Gianfranco Calligarich","„Kirkus”"
"Ostatnie lato w mieście","Gianfranco Calligarich","Andrew Martin"
"Ostatnie lato w mieście","Gianfranco Calligarich","„Publishers Weekly”"
"Ostatnie lato w mieście","Gianfranco Calligarich","„Vogue”"
"Ostatni krąg","Drauzio Varella","Janusz Mrozowski"
"Ostatni ludzie","Maciej Jakubowiak","Paweł Sołtys"
"Ostatni pociąg do zona verde","Paul Theroux","„New York Journal of Books”"
"Ostatni pociąg do zona verde","Paul Theroux","„The Boston Globe”"
"Ostatni pociąg do zona verde","Paul Theroux","„The Sunday Times”"
"Ostatni pociąg do zona verde","Paul Theroux","„The Observer”"
"Ostatni pociąg do zona verde","Paul Theroux","„San Francisco Chronicle”"
"Ostatni świadkowie","Swietłana Aleksijewicz","Prof. dr hab. Jerzy Kochanowski"
"Ostatni wyścig","Jean Hatzfeld","Krzysztof Cieślik"
"Ostatni wyścig","Jean Hatzfeld","Damian Gajda, Onet.pl"
"Ota Pavel","Aleksander Kaczorowski","Michał Cichy"
"Ota Pavel","Aleksander Kaczorowski","Karol Kulej, czytelnik"
"Pająki pana Roberta","Robert Pucek","Krzysztof Środa"
"Pałace na wodzie","Adam Robiński","Małgorzata Lebda"
"Pamięć ciała","Alex Marzano-Lesnevich","Wojciech Chmielarz"
"Pamięć ciała","Alex Marzano-Lesnevich","Maggie Nelson"
"Pamięć ciała","Alex Marzano-Lesnevich","„The Times”"
"Pamięć ciała","Alex Marzano-Lesnevich","„Redbook”"
"Pamięć ciała","Alex Marzano-Lesnevich","„Boston Globe”"
"Pamięć ciała","Alex Marzano-Lesnevich","„Entertainment Weekly”"
"Pamięć ciała","Alex Marzano-Lesnevich","„The Buffalo News”"
"Pamięć ciała","Alex Marzano-Lesnevich","„Publishers Weekly”"
"Pamięć ciała","Alex Marzano-Lesnevich","„The Sunday Times”"
"Pamięć przetrwania","Christopher R. Browning","Barbara Engelking"
"Pamiętajcie, że byłem przeciw","Barbara Seidler","Cezary Łazarewicz"
"Pamiętam, że było gorąco","Jacek Szczerba","Andrzej Wajda, ""Gazeta Wyborcza"""
"Pamiętam, że było gorąco","Katarzyna Bielas","Andrzej Wajda, ""Gazeta Wyborcza"""
"Pancerz i krew","Dennis E. Showalter","„Publishers Weekly”"
"Pani Stefa","Magdalena Kicińska","Magdalena Grzebałkowska"
"Pani Stefa","Magdalena Kicińska","Angelika Kuźniak"
"Papież i Mussolini","David I. Kertzer","Gilbert Taylor, „Booklist”"
"Papież i Mussolini","David I. Kertzer","Joseph J. Ellis"
"Papież i Mussolini","David I. Kertzer","„The Guardian”"
"Papież i Mussolini","David I. Kertzer","James Carroll"
"Papież i Mussolini","David I. Kertzer","„Kirkus Reviews”"
"Papież i Mussolini","David I. Kertzer","„America. The National Catholic Review”"
"Papież i Mussolini","David I. Kertzer","Jack Miles"
"Papież i Mussolini","David I. Kertzer","prof. Kevin Madigan"
"Papusza","Angelika Kuźniak","Julia Hartwig"
"Papusza","Angelika Kuźniak","Lidia Ostałowska"
"Paraíso Travel","Jorge Franco","Gabriel Garcia Marquez"
"Paraíso Travel","Jorge Franco","Bartosz Marzec"
"Partytura śmierci","Jan Seghers","Zeit online"
"Partytura śmierci","Jan Seghers","Hans Riebsamen"
"Pasażerowie","Mateusz Marczewski","Wojciech Nowicki"
"Pasterze smoków","Karolina Lewestam","Karolina Lewestam"
"Pejzaże metropolii śmierci","Otto Dov Kulka","Barbara Engelking"
"Pejzaże metropolii śmierci","Otto Dov Kulka","Bryan Appleyard"
"Pejzaże metropolii śmierci","Otto Dov Kulka","Thomas Laqueur, „Guardian”"
"Pejzaże metropolii śmierci","Otto Dov Kulka","Simon Schama, „Financial Times”"
"Pejzaże metropolii śmierci","Otto Dov Kulka","Arifa Akbar, „Independent”"
"Pejzaże metropolii śmierci","Otto Dov Kulka","Ian Kershaw, „The Daily Beast”"
"Pensjonat pamięci","Tony Judt","Tony Judt"
"Pensjonat pamięci","Tony Judt","Jarosław Makowski"
"Pensjonat pamięci","Tony Judt","Aleksander Kaczorowski"
"Pensjonat pamięci","Tony Judt","The Telegraph"
"Pensjonat pamięci","Tony Judt","The Guardian"
"Pensjonat pamięci","Tony Judt","The New York Times"
"Pepiki","Mariusz Surosz","Mariusz Surosz"
"Perwersja","Jurij Andruchowycz","Marta Mizuro"
"Petersburg","Joanna Czeczott","Ewa Wieczorek"
"Pewnej nocy we Włoszech","Lucy  Diamond","Heat"
"Pewnej nocy we Włoszech","Lucy  Diamond","Closer"
"Piaskun","Lars Kepler","„Sundsvalls Tidning”"
"Piaskun","Lars Kepler","„Hallands Nyheter”"
"Piaskun","Lars Kepler","„Nerikes Allehanda”"
"Piękna rupieciarnia","Bohumil Hrabal","Mariusz Szczygieł, „Gazeta Wyborcza”"
"Piknik fryzjerów","Felicitas Hoppe","Maciej Zembaty"
"Pirat stepowy","Stanisław Łubieński","Włodzimierz Kalicki"
"Pirat stepowy","Stanisław Łubieński","Serhij Żadan"
"Plac zabaw","Lars Kepler","Anna Kańtoch"
"Planeta Kaukaz","Wojciech Górecki","Ryszard Kapuściński (o pierwszym wydaniu książki)"
"Planeta Kaukaz","Wojciech Górecki","Jacek Hugo-Bader"
"Please kill me","Legs McNeil","William S. Burroughs"
"Please kill me","Legs McNeil","Robert Christgau, „The New York Times Book Review”"
"Please kill me","Legs McNeil","James Wolcott, „The New Yorker”"
"Please kill me","Legs McNeil","„Rolling Stone”"
"Please kill me","Legs McNeil","„MOJO”"
"Please kill me","Legs McNeil","„PAPER”"
"Please kill me","Legs McNeil","„New York Post”"
"Please kill me","Legs McNeil","Greil Marcus, „Interview Magazine”"
"Please kill me","Legs McNeil","Michał Urbański czytelnik, laureat konkursu Wydawnictwa Czarne i Off Festivalu"
"Please kill me","Gillian McCain","William S. Burroughs"
"Please kill me","Gillian McCain","Robert Christgau, „The New York Times Book Review”"
"Please kill me","Gillian McCain","James Wolcott, „The New Yorker”"
"Please kill me","Gillian McCain","„Rolling Stone”"
"Please kill me","Gillian McCain","„MOJO”"
"Please kill me","Gillian McCain","„PAPER”"
"Please kill me","Gillian McCain","„New York Post”"
"Please kill me","Gillian McCain","Greil Marcus, „Interview Magazine”"
"Please kill me","Gillian McCain","Michał Urbański czytelnik, laureat konkursu Wydawnictwa Czarne i Off Festivalu"
"Plon","Tara June Winch","Richard Flanagan"
"Plon","Tara June Winch","„The Guardian”"
"Plon","Tara June Winch","„Booklist”"
"Plon","Tara June Winch","„Wall Street Journal”"
"Plon","Tara June Winch","Jury Nagrody Literackiej Premiera Australii"
"Plon","Tara June Winch","„Sunday Times”"
"Plon","Tara June Winch","Maria Takolander, „The Saturday Paper”"
"Plon","Tara June Winch","Juliet Rieden, „Australian Womens Weekly”"
"Plon","Tara June Winch","Madelaine Dickie, „National Indigenous Times”"
"Plon","Tara June Winch","Buzzfeed"
"Plon","Tara June Winch","Melanie Kembrey, „Sydney Morning Herald”"
"Plon","Tara June Winch","Joy Williams"
"Plon","Tara June Winch","Kate Morton"
"Plutopia","Kate Brown","Jon Wiener, „American Historical Review”"
"Plutopia","Kate Brown","Stephen E. Roulac, „The New York Journal of Books”"
"Plutopia","Kate Brown","„Kirkus Reviews”"
"Plutopia","Kate Brown","„Foreign Affairs”"
"Plutopia","Kate Brown","Carl Abbott, „Environmental History”"
"Plutopia","Kate Brown","Glen Dallas, „San Francisco Book Review”"
"Pływak","Zsuzsa Bánk","Olga Tokarczuk"
"Pływak","Zsuzsa Bánk","Wilfried F. Scheller"
"Pływak","Zsuzsa Bánk","Justyna Sobolewska"
"Pływak","Zsuzsa Bánk","Agnieszka Wolny-Hamkało"
"Pływak","Zsuzsa Bánk","Marta Mizuro"
"Pływak","Zsuzsa Bánk","Helena Zaworska"
"Pływak","Zsuzsa Bánk","Joanna Krawczyk"
"Pływak","Zsuzsa Bánk","Marek Koprowski"
"Po","Rachel Cusk","Katarzyna Kubisiowska"
"Po","Rachel Cusk","Justyna Dąbrowska"
"Pochówek dla rezuna","Paweł Smoleński","Jacek Kuroń, „Gazeta Wyborcza”"
"Pochówek dla rezuna","Paweł Smoleński","Adam Szostkiewicz"
"Pochówek dla rezuna","Paweł Smoleński","Ryszard Kapuściński"
"Pochówek dla rezuna","Paweł Smoleński","Marek Włodarski"
"Pochówek dla rezuna","Paweł Smoleński","Andrzej St. Kowalczyk"
"Pochówek dla rezuna","Paweł Smoleński","Edwin Bendyk"
"Pociąg linii M","Patti Smith","Łukasz Kamiński"
"Pociąg linii M","Patti Smith","Paula Mejia, „Newsweek”"
"Pociąg linii M","Patti Smith","Eugenia Williamson, „The Boston Globe”"
"Pociąg linii M","Patti Smith","Heather Scott Partington, „Las Vegas Weekly”"
"Pociąg linii M","Patti Smith","Will Hermes, „Rolling Stone”"
"Pociąg linii M","Patti Smith","John Heilpern, „Vanity Fair”"
"Pociąg linii M","Patti Smith","Michiko Kakutani, „The New York Times”"
"Pociąg linii M","Patti Smith","Joan Juliet Buck, „Harper’s Bazaar”"
"Pociąg widmo do Gwiazdy Wschodu","Paul Theroux","The Telegrach"
"Pociąg widmo do Gwiazdy Wschodu","Paul Theroux","The Spectator"
"Pociąg widmo do Gwiazdy Wschodu","Paul Theroux","The Guardian"
"Pociski i opium","Liao Yiwu","Herta Müller"
"Pociski i opium","Liao Yiwu","Herbert Wiesner, „Die Welt”"
"Podhale","Aleksander Gurgul","Marcin Kącki"
"Podmajordomus Minor","Patrick deWitt","Michał Nogaś, Program 3 Polskiego Radia"
"Podmajordomus Minor","Patrick deWitt","„Publishers Weekly”"
"Podmajordomus Minor","Patrick deWitt","BookPage"
"Podmajordomus Minor","Patrick deWitt","Booklist"
"Podmajordomus Minor","Patrick deWitt","„The New York Times Book Review”"
"Podmajordomus Minor","Patrick deWitt","„San Francisco Chronicle”"
"Podmajordomus Minor","Patrick deWitt","„The Boston Globe”"
"Podmajordomus Minor","Patrick deWitt","„The New York Times”"
"Pod pokładem","Vladimir Arsenijević","Mariusz Cieślik"
"Pod pokładem","Vladimir Arsenijević","Sebastian Frąckiewicz"
"Pod pokładem","Vladimir Arsenijević","Razem"
"Podróż do krainy zeków","Julius Margolin","Ze wstępu Jerzego Czecha"
"Podróż do krainy zeków","Julius Margolin","Prof. Marek Kornat"
"Podróże do Armenii i innych krajów","Krzysztof Środa","Kora Jackowska"
"Podróże do Armenii i innych krajów","Krzysztof Środa","Zbigniew Mentzel"
"Podróże do Armenii i innych krajów","Krzysztof Środa","Andrzej Stasiuk"
"Podróż na Alaskę","Bora Ćosić","Miłada Jędrysik"
"Podróż na Alaskę","Bora Ćosić","Bora Ćosić"
"Pod sztandarem nieba","Jon Krakauer","Katarzyna Surmiak-Domańska"
"Podziemie","Haruki Murakami","Adam Szostkiewicz"
"Podziemie","Haruki Murakami","„Sunday Telegraph”"
"Podziemie","Haruki Murakami","„Independent”"
"Podziemie","Haruki Murakami","„Time Out”"
"Podziemie","Haruki Murakami","„Scotsman”"
"Poeta i mit","Wiesław Juszczak","Dariusz Czaja"
"Po Galicji","Martin Pollack","Ryszard Kapuściński"
"Pogranicze","Thomas Kanger","Västervikstidningen"
"Pogranicze","Thomas Kanger","Kristianstadsbladet"
"Pogranicze","Thomas Kanger","Journalisten"
"Pogranicze","Thomas Kanger","Hallands Nyheter"
"Pogranicze wszystkiego","Natalia Bryżko-Zapór","Michał Potocki"
"Pogromca wilków","Christoph Ransmayr","Paweł Smoleński"
"Pogromca wilków","Christoph Ransmayr","Ewa Winnicka"
"Pogromca wilków","Martin Pollack","Paweł Smoleński"
"Pogromca wilków","Martin Pollack","Ewa Winnicka"
"Pogrzebać kajdany","Adam Hochschild","Kevin Ryan, członek jury Pokojowej Nagrody Literackiej Dayton"
"Pogrzebana","Peter Hessler","Piotr Ibrahim Kalwas"
"Pogrzebana","Peter Hessler","Paul Theroux"
"Pogrzebana","Peter Hessler","Ben Rhodes"
"Pogrzebana","Peter Hessler","Larissa MacFarquhar"
"Pogrzebana","Peter Hessler","Anand Gopal"
"Po kalifacie","Paweł Pieniążek","Paweł Smoleński"
"Pokonać Kimów","Bradley Hope","Robert Stefanicki"
"Pokonać Kimów","Bradley Hope","Max Boot"
"Pokonać Kimów","Bradley Hope","Kai Bird"
"Pokonać Kimów","Bradley Hope","Ed Caesar"
"Pokonać Kimów","Bradley Hope","Yeonmi Park"
"Pokuta","Anna Kańtoch","Małgorzata Czyńska"
"Polacos","Anna Pamuła","Ewa Winnicka"
"Polanim","Karolina Przewrocka-Aderet","Anna Bikont"
"Policjanci i złodzieje","Kjetil Stensvik Østli","Piotr Pytlakowski, dziennikarz od lat opisujący polskie grupy przestępcze, współautor „Alfabetu mafii"
"Policjanci i złodzieje","Kjetil Stensvik Østli","Dagsavisen"
"Policjanci i złodzieje","Kjetil Stensvik Østli","Dagbladet"
"Policjanci i złodzieje","Kjetil Stensvik Østli","Dagens Næringsliv"
"Polska przydrożna","Piotr Marecki","Pan Piotr z Pogwizdowa"
"Polska przydrożna","Piotr Marecki","Pan Stefan ze Święcan"
"Polska przydrożna","Piotr Marecki","Pani Ziuta z Radoszyc"
"Polska przydrożna","Piotr Marecki","Ziemowit Szczerek"
"Polska przydrożna","Piotr Marecki","Jarek Mazur, czytelnik"
"Polski hydraulik i inne opowieści ze Szwecji","Maciej Zaremba Bielawski","Katrine Kielos"
"Polski hydraulik i inne opowieści ze Szwecji","Maciej Zaremba Bielawski","Daniel Sandström"
"Polski hydraulik i inne opowieści ze Szwecji","Maciej Zaremba Bielawski","Daniel Levin"
"Polski hydraulik i inne opowieści ze Szwecji","Maciej Zaremba Bielawski","Gunnar Wetterberg"
"Polski hydraulik i inne opowieści ze Szwecji","Maciej Zaremba Bielawski","Mariusz Szczygieł"
"Polski hydraulik i inne opowieści ze Szwecji","Maciej Zaremba Bielawski","Tomasz Jastrun"
"Południe","Andrzej Muszyński","Michał Nogaś"
"Pomarli","Waldemar Bawołek","Józef Baran"
"Ponad nasze siły","Milena Jesenská","Marta Mizuro"
"Ponad nasze siły","Milena Jesenská","Grażyna Borkowska"
"Poniedziałkowe dzieci","Patti Smith","Jerzy Jarniewicz"
"Poniedziałkowe dzieci","Patti Smith","Mikołaj Grynberg"
"Poniedziałkowe dzieci","Patti Smith","„Novika”"
"Poniedziałkowe dzieci","Patti Smith","Katarzyna Staszko"
"Poniedziałkowe dzieci","Patti Smith","Edmund White, „The Guardian”"
"Poniedziałkowe dzieci","Patti Smith","Kaja Wiśniowska, czytelniczka, laureatka konkursu Wydawnictwa Czarne i Off Festivalu"
"Poniemieckie","Karolina Kuszyk","Brygida Helbig"
"Portrecista psów","Wojciech Chamier-Gliszczyński","Michał Sowiński, „Tygodnik Powszechny”"
"Porwane","Wolfgang Bauer","Draginja Nadaždin, dyrektorka Amnesty International Polska"
"Porwane","Wolfgang Bauer","Deutschlandfunk"
"Porwane","Wolfgang Bauer","Martina Häusler"
"Porwane","Wolfgang Bauer","Bianca Schwarz"
"Porwane","Wolfgang Bauer","Roland Müller"
"Porwanie Edgarda Mortary","David I. Kertzer","Ewa Winnicka"
"Porwanie Edgarda Mortary","David I. Kertzer","„Kirkus Reviews”"
"Porwanie Edgarda Mortary","David I. Kertzer","„Boston Globe”"
"Porwanie Edgarda Mortary","David I. Kertzer","„Newsday”"
"Porwanie Edgarda Mortary","David I. Kertzer","Jay Freeman, „Booklist”"
"Porządek światowy","Henry Kissinger","Hillary Clinton, „The Washington Post”"
"Porządek światowy","Henry Kissinger","Michiko Kakutani, „The New York Times”"
"Porządne dziewczyny","Sonia Faleiro","Paula Szewczyk, „Wysokie Obcasy”"
